rpm,load,target_afr,trim_percent
1800,0.15,14.366,0.000
1800,0.20,14.233,0.000
1800,0.25,14.133,0.000
1800,0.30,14.033,0.000
1800,0.35,13.933,0.000
1800,0.40,13.833,0.000
1800,0.45,13.733,0.000
1800,0.50,13.633,0.000
1800,0.55,13.533,0.000
1800,0.60,13.433,0.000
1800,0.65,13.333,0.000
1800,0.70,13.233,0.000
1800,0.75,13.133,0.000
1800,0.80,13.033,0.000
1800,0.85,12.933,0.000
1800,0.90,12.833,0.000
1800,0.95,12.733,0.000
1800,1.00,12.633,0.000
2000,0.00,14.625,0.000
2000,0.05,14.625,0.000
2000,0.10,14.492,0.000
2000,0.15,14.358,0.000
2000,0.20,14.225,0.000
2000,0.25,14.125,0.000
2000,0.30,14.025,0.000
2000,0.35,13.925,0.000
2000,0.40,13.825,0.000
2000,0.45,13.725,0.000
2000,0.50,13.625,0.000
2000,0.55,13.525,0.000
2000,0.60,13.425,0.000
2000,0.65,13.325,0.000
2000,0.70,13.225,0.000
2000,0.75,13.125,0.000
2000,0.80,13.025,0.000
2000,0.85,12.925,0.000
2000,0.90,12.825,0.000
2000,0.95,12.725,0.000
2000,1.00,12.625,0.000
2200,0.00,14.618,0.000
2200,0.05,14.618,0.000
2200,0.10,14.485,0.000
2200,0.15,14.351,0.000
2200,0.20,14.218,0.000
2200,0.25,14.118,0.000
2200,0.30,14.018,0.000
2200,0.35,13.918,0.000
2200,0.40,13.818,0.000
2200,0.45,13.718,0.000
2200,0.50,13.618,0.000
2200,0.55,13.518,0.000
2200,0.60,13.418,0.000
2200,0.65,13.318,0.000
2200,0.70,13.218,0.000
2200,0.75,13.118,0.000
2200,0.80,13.018,0.000
2200,0.85,12.918,0.000
2200,0.90,12.818,0.000
2200,0.95,12.718,0.000
2200,1.00,12.618,0.000
2400,0.00,14.610,0.000
2400,0.05,14.610,0.000
2400,0.10,14.477,0.000
2400,0.15,14.343,0.000
2400,0.20,14.210,0.000
2400,0.25,14.110,0.000
2400,0.30,14.010,0.000
2400,0.35,13.910,0.000
2400,0.40,13.810,0.000
2400,0.45,13.710,0.000
2400,0.50,13.610,0.000
2400,0.55,13.510,0.000
2400,0.60,13.410,0.000
2400,0.65,13.310,0.000
2400,0.70,13.210,0.000
2400,0.75,13.110,0.000
2400,0.80,13.010,0.000
2400,0.85,12.910,0.000
2400,0.90,12.810,0.000
2400,0.95,12.710,0.000
2400,1.00,12.610,0.000
2600,0.00,14.603,0.000
2600,0.05,14.603,0.000
2600,0.10,14.470,0.000
2600,0.15,14.336,0.000
2600,0.20,14.203,0.000
2600,0.25,14.103,0.000
2600,0.30,14.003,0.000
2600,0.35,13.903,0.000
2600,0.40,13.803,0.000
2600,0.45,13.703,0.000
2600,0.50,13.603,0.000
2600,0.55,13.503,0.000
2600,0.60,13.403,0.000
2600,0.65,13.303,0.000
2600,0.70,13.203,0.000
2600,0.75,13.103,0.000
2600,0.80,13.003,0.000
2600,0.85,12.903,0.000
2600,0.90,12.803,0.000
2600,0.95,12.703,0.000
2600,1.00,12.603,0.000
2800,0.00,14.595,0.000
2800,0.05,14.595,0.000
2800,0.10,14.462,0.000
2800,0.15,14.328,0.000
2800,0.20,14.195,0.000
2800,0.25,14.095,0.000
2800,0.30,13.995,0.000
2800,0.35,13.895,0.000
2800,0.40,13.795,0.000
2800,0.45,13.695,0.000
2800,0.50,13.595,0.000
2800,0.55,13.495,0.000
2800,0.60,13.395,0.000
2800,0.65,13.295,0.000
2800,0.70,13.195,0.000
2800,0.75,13.095,0.000
2800,0.80,12.995,0.000
2800,0.85,12.895,0.000
2800,0.90,12.795,0.000
2800,0.95,12.695,0.000
2800,1.00,12.595,0.000
3000,0.00,14.588,0.000
3000,0.05,14.588,0.000
3000,0.10,14.455,0.000
3000,0.15,14.321,0.000
3000,0.20,14.188,0.000
3000,0.25,14.088,0.000
3000,0.30,13.988,0.000
3000,0.35,13.888,0.000
3000,0.40,13.788,0.000
3000,0.45,13.688,0.000
3000,0.50,13.588,0.000
3000,0.55,13.488,0.000
